uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;distancia_txt;dist_value;duracao_txt;duracao_value;Status
AL;MAJOR ISIDORO;ALAGOAS;AL 2704401;BELA VISTA DE GOIÁS;GO;2.094 km;2093854;1 dia 3 horas;96920;OK
AL;MONTEIRÓPOLIS;ALAGOAS;AL 2705408;BELA VISTA DE GOIÁS;GO;2.052 km;2051858;1 dia 3 horas;95876;OK
AL;OLHO D'ÁGUA DAS FLORES;ALAGOAS;AL 2705705;BELA VISTA DE GOIÁS;GO;2.043 km;2042688;1 dia 2 horas;95283;OK
AL;OLIVENÇA;ALAGOAS;AL 2706000;BELA VISTA DE GOIÁS;GO;2.071 km;2070962;1 dia 3 horas;96495;OK
AL;BELÉM;ALAGOAS;AL 2700805;BELA VISTA DE GOIÁS;GO;2.088 km;2088104;1 dia 3 horas;97989;OK
AL;CACIMBINHAS;ALAGOAS;AL 2701209;BELA VISTA DE GOIÁS;GO;2.090 km;2090097;1 dia 3 horas;97070;OK
AL;ESTRELA DE ALAGOAS;ALAGOAS;AL 2702553;BELA VISTA DE GOIÁS;GO;2.101 km;2101394;1 dia 3 horas;96822;OK
AL;IGACI;ALAGOAS;AL 2703106;BELA VISTA DE GOIÁS;GO;2.073 km;2073398;1 dia 3 horas;97176;OK
AL;MARIBONDO;ALAGOAS;AL 2704807;BELA VISTA DE GOIÁS;GO;2.089 km;2088867;1 dia 3 horas;97608;OK
AL;MAR VERMELHO;ALAGOAS;AL 2704906;BELA VISTA DE GOIÁS;GO;2.092 km;2091918;1 dia 3 horas;98443;OK
AL;MINADOR DO NEGRÃO;ALAGOAS;AL 2705309;BELA VISTA DE GOIÁS;GO;2.107 km;2107152;1 dia 3 horas;97594;OK
AL;PALMEIRA DOS ÍNDIOS;ALAGOAS;AL 2706307;BELA VISTA DE GOIÁS;GO;2.118 km;2117541;1 dia 3 horas;98075;OK
AL;PAULO JACINTO;ALAGOAS;AL 2706604;BELA VISTA DE GOIÁS;GO;2.155 km;2155080;1 dia 4 horas;100100;OK
AL;QUEBRANGULO;ALAGOAS;AL 2707602;BELA VISTA DE GOIÁS;GO;2.148 km;2148260;1 dia 4 horas;99957;OK
AL;TANQUE D'ARCA;ALAGOAS;AL 2709004;BELA VISTA DE GOIÁS;GO;2.079 km;2078887;1 dia 3 horas;97400;OK
AL;ARAPIRACA;ALAGOAS;AL 2700300;BELA VISTA DE GOIÁS;GO;2.045 km;2044878;1 dia 3 horas;95440;OK
AL;CAMPO GRANDE;ALAGOAS;AL 2701506;BELA VISTA DE GOIÁS;GO;2.013 km;2013177;1 dia 2 horas;93730;OK
AL;COITÉ DO NÓIA;ALAGOAS;AL 2702009;BELA VISTA DE GOIÁS;GO;2.062 km;2061613;1 dia 3 horas;96188;OK
AL;CRAÍBAS;ALAGOAS;AL 2702355;BELA VISTA DE GOIÁS;GO;2.070 km;2069732;1 dia 3 horas;97249;OK
AL;FEIRA GRANDE;ALAGOAS;AL 2702603;BELA VISTA DE GOIÁS;GO;2.025 km;2024993;1 dia 2 horas;94910;OK
AL;GIRAU DO PONCIANO;ALAGOAS;AL 2702900;BELA VISTA DE GOIÁS;GO;2.032 km;2031930;1 dia 2 horas;95177;OK
AL;LAGOA DA CANOA;ALAGOAS;AL 2704104;BELA VISTA DE GOIÁS;GO;2.036 km;2036299;1 dia 2 horas;95273;OK
AL;LIMOEIRO DE ANADIA;ALAGOAS;AL 2704203;BELA VISTA DE GOIÁS;GO;2.065 km;2064848;1 dia 3 horas;96360;OK
AL;SÃO SEBASTIÃO;ALAGOAS;AL 2708808;BELA VISTA DE GOIÁS;GO;2.017 km;2017304;1 dia 2 horas;93579;OK
AL;TAQUARANA;ALAGOAS;AL 2709103;BELA VISTA DE GOIÁS;GO;2.065 km;2065473;1 dia 3 horas;96470;OK
AL;OLHO D'ÁGUA GRANDE;ALAGOAS;AL 2705903;BELA VISTA DE GOIÁS;GO;1.998 km;1997856;1 dia 2 horas;92708;OK
AL;SÃO BRÁS;ALAGOAS;AL 2708204;BELA VISTA DE GOIÁS;GO;1.987 km;1987046;1 dia 2 horas;92548;OK
AL;TRAIPU;ALAGOAS;AL 2709202;BELA VISTA DE GOIÁS;GO;2.050 km;2050122;1 dia 3 horas;96137;OK
AL;CHÃ PRETA;ALAGOAS;AL 2701902;BELA VISTA DE GOIÁS;GO;2.152 km;2152049;1 dia 4 horas;101713;OK
AL;IBATEGUARA;ALAGOAS;AL 2703007;BELA VISTA DE GOIÁS;GO;2.224 km;2224346;1 dia 5 horas;103406;OK
AL;PINDOBA;ALAGOAS;AL 2707008;BELA VISTA DE GOIÁS;GO;2.116 km;2115608;1 dia 4 horas;100136;OK
AL;SANTANA DO MUNDAÚ;ALAGOAS;AL 2708105;BELA VISTA DE GOIÁS;GO;2.209 km;2209411;1 dia 5 horas;104130;OK
AL;SÃO JOSÉ DA LAJE;ALAGOAS;AL 2708303;BELA VISTA DE GOIÁS;GO;2.218 km;2217692;1 dia 5 horas;103237;OK
AL;UNIÃO DOS PALMARES;ALAGOAS;AL 2709301;BELA VISTA DE GOIÁS;GO;2.187 km;2187086;1 dia 4 horas;102387;OK
AL;VIÇOSA;ALAGOAS;AL 2709400;BELA VISTA DE GOIÁS;GO;2.148 km;2148419;1 dia 4 horas;101079;OK
AL;ATALAIA;ALAGOAS;AL 2700409;BELA VISTA DE GOIÁS;GO;2.115 km;2115306;1 dia 4 horas;99283;OK
AL;BRANQUINHA;ALAGOAS;AL 2701100;BELA VISTA DE GOIÁS;GO;2.176 km;2175531;1 dia 4 horas;101602;OK
AL;CAJUEIRO;ALAGOAS;AL 2701308;BELA VISTA DE GOIÁS;GO;2.120 km;2120071;1 dia 3 horas;98975;OK
AL;CAMPESTRE;ALAGOAS;AL 2701357;BELA VISTA DE GOIÁS;GO;2.230 km;2229848;1 dia 5 horas;104555;OK
AL;CAPELA;ALAGOAS;AL 2701704;BELA VISTA DE GOIÁS;GO;2.127 km;2126858;1 dia 4 horas;99369;OK
AL;COLÔNIA LEOPOLDINA;ALAGOAS;AL 2702108;BELA VISTA DE GOIÁS;GO;2.228 km;2228301;1 dia 5 horas;104337;OK
AL;FLEXEIRAS;ALAGOAS;AL 2702801;BELA VISTA DE GOIÁS;GO;2.171 km;2170856;1 dia 4 horas;101560;OK
AL;JACUÍPE;ALAGOAS;AL 2703502;BELA VISTA DE GOIÁS;GO;2.257 km;2256695;1 dia 5 horas;106087;OK
AL;JOAQUIM GOMES;ALAGOAS;AL 2703809;BELA VISTA DE GOIÁS;GO;2.190 km;2190121;1 dia 5 horas;102968;OK
AL;JUNDIÁ;ALAGOAS;AL 2703908;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AL;MATRIZ DE CAMARAGIBE;ALAGOAS;AL 2705101;BELA VISTA DE GOIÁS;GO;2.222 km;2222255;1 dia 5 horas;104503;OK
AL;MESSIAS;ALAGOAS;AL 2705200;BELA VISTA DE GOIÁS;GO;2.153 km;2152748;1 dia 4 horas;100797;OK
AL;MURICI;ALAGOAS;AL 2705507;BELA VISTA DE GOIÁS;GO;2.166 km;2166141;1 dia 4 horas;101557;OK
AL;NOVO LINO;ALAGOAS;AL 2705606;BELA VISTA DE GOIÁS;GO;2.211 km;2211094;1 dia 5 horas;103449;OK
AL;PORTO CALVO;ALAGOAS;AL 2707305;BELA VISTA DE GOIÁS;GO;2.243 km;2242509;1 dia 5 horas;105264;OK
AL;SÃO LUÍS DO QUITUNDE;ALAGOAS;AL 2708501;BELA VISTA DE GOIÁS;GO;2.199 km;2198742;1 dia 5 horas;103073;OK
AL;JAPARATINGA;ALAGOAS;AL 2703601;BELA VISTA DE GOIÁS;GO;2.255 km;2255268;1 dia 5 horas;105772;OK
AL;MARAGOGI;ALAGOAS;AL 2704500;BELA VISTA DE GOIÁS;GO;2.266 km;2265719;1 dia 6 horas;106809;OK
AL;PASSO DE CAMARAGIBE;ALAGOAS;AL 2706505;BELA VISTA DE GOIÁS;GO;2.216 km;2215796;1 dia 5 horas;103991;OK
AL;PORTO DE PEDRAS;ALAGOAS;AL 2707404;BELA VISTA DE GOIÁS;GO;2.237 km;2237275;1 dia 5 horas;105648;OK
AL;SÃO MIGUEL DOS MILAGRES;ALAGOAS;AL 2708709;BELA VISTA DE GOIÁS;GO;2.232 km;2231584;1 dia 5 horas;105163;OK
