uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;distancia_txt;dist_value;duracao_txt;duracao_value
SP;BAURU;BAURU;SP 3506003;ITAPETININGA;SP;;;;
SP;BEBEDOURO;RIBEIRÃO PRETO;SP 3506102;ITAPETININGA;SP;;;;
SP;BENTO DE ABREU;ARAÇATUBA;SP 3506201;ITAPETININGA;SP;;;;
SP;BERNARDINO DE CAMPOS;ASSIS;SP 3506300;ITAPETININGA;SP;;;;
SP;BERTIOGA;BAIXADA SANTISTA;SP 3506359;ITAPETININGA;SP;;;;
SP;BILAC;ARAÇATUBA;SP 3506409;ITAPETININGA;SP;;;;
SP;BIRIGUI;ARAÇATUBA;SP 3506508;ITAPETININGA;SP;;;;
SP;BIRITIBA-MIRIM;METROP. DE SÃO PAULO;SP 3506607;ITAPETININGA;SP;;;;
SP;BOA ESPERANÇA DO SUL;ARARAQUARA;SP 3506706;ITAPETININGA;SP;;;;
SP;BOCAINA;BAURU;SP 3506805;ITAPETININGA;SP;;;;
SP;BOFETE;BAURU;SP 3506904;ITAPETININGA;SP;;;;
SP;BOITUVA;ITAPETININGA;SP 3507001;ITAPETININGA;SP;;;;
SP;BOM JESUS DOS PERDÕES;MACRO MET. PAULISTA;SP 3507100;ITAPETININGA;SP;;;;
SP;BOM SUCESSO DE ITARARÉ;ITAPETININGA;SP 3507159;ITAPETININGA;SP;;;;
SP;BORÁ;ASSIS;SP 3507209;ITAPETININGA;SP;;;;
SP;BORACÉIA;BAURU;SP 3507308;ITAPETININGA;SP;;;;
SP;BORBOREMA;ARARAQUARA;SP 3507407;ITAPETININGA;SP;;;;
SP;BOREBI;BAURU;SP 3507456;ITAPETININGA;SP;;;;
SP;BOTUCATU;BAURU;SP 3507506;ITAPETININGA;SP;;;;
SP;BRAGANÇA PAULISTA;MACRO MET. PAULISTA;SP 3507605;ITAPETININGA;SP;;;;
SP;BRAÚNA;ARAÇATUBA;SP 3507704;ITAPETININGA;SP;;;;
SP;BREJO ALEGRE;ARAÇATUBA;SP 3507753;ITAPETININGA;SP;;;;
SP;BRODOWSKI;RIBEIRÃO PRETO;SP 3507803;ITAPETININGA;SP;;;;
SP;BROTAS;PIRACICABA;SP 3507902;ITAPETININGA;SP;;;;
SP;BURI;ITAPETININGA;SP 3508009;ITAPETININGA;SP;;;;
SP;BURITAMA;ARAÇATUBA;SP 3508108;ITAPETININGA;SP;;;;
SP;BURITIZAL;RIBEIRÃO PRETO;SP 3508207;ITAPETININGA;SP;;;;
SP;CABRÁLIA PAULISTA;BAURU;SP 3508306;ITAPETININGA;SP;;;;
SP;CABREÚVA;MACRO MET. PAULISTA;SP 3508405;ITAPETININGA;SP;;;;
SP;CAÇAPAVA;VALE DO PARAÍBA;SP 3508504;ITAPETININGA;SP;;;;
SP;CACHOEIRA PAULISTA;VALE DO PARAÍBA;SP 3508603;ITAPETININGA;SP;;;;
SP;CACONDE;CAMPINAS;SP 3508702;ITAPETININGA;SP;;;;
SP;CAFELÂNDIA;BAURU;SP 3508801;ITAPETININGA;SP;;;;
SP;CAIABU;PRESIDENTE PRUDENTE;SP 3508900;ITAPETININGA;SP;;;;
SP;CAIEIRAS;METROP. DE SÃO PAULO;SP 3509007;ITAPETININGA;SP;;;;
SP;CAIUÁ;PRESIDENTE PRUDENTE;SP 3509106;ITAPETININGA;SP;;;;
SP;CAJAMAR;METROP. DE SÃO PAULO;SP 3509205;ITAPETININGA;SP;;;;
SP;CAJATI;LITORAL SUL PAULISTA;SP 3509254;ITAPETININGA;SP;;;;
SP;CAJOBI;SÃO J. DO RIO PRETO;SP 3509304;ITAPETININGA;SP;;;;
SP;CAJURU;RIBEIRÃO PRETO;SP 3509403;ITAPETININGA;SP;;;;
SP;CAMPINA DO MONTE ALEGRE;ITAPETININGA;SP 3509452;ITAPETININGA;SP;;;;
SP;CAMPINAS;CAMPINAS;SP 3509502;ITAPETININGA;SP;;;;
SP;CAMPO LIMPO PAULISTA;MACRO MET. PAULISTA;SP 3509601;ITAPETININGA;SP;;;;
SP;CAMPOS DO JORDÃO;VALE DO PARAÍBA;SP 3509700;ITAPETININGA;SP;;;;
SP;CAMPOS NOVOS PAULISTA;ASSIS;SP 3509809;ITAPETININGA;SP;;;;
SP;CANANÉIA;LITORAL SUL PAULISTA;SP 3509908;ITAPETININGA;SP;;;;
SP;CANAS;VALE DO PARAÍBA;SP 3509957;ITAPETININGA;SP;;;;
SP;CÂNDIDO MOTA;ASSIS;SP 3510005;ITAPETININGA;SP;;;;
SP;CÂNDIDO RODRIGUES;RIBEIRÃO PRETO;SP 3510104;ITAPETININGA;SP;;;;
SP;CANITAR;ASSIS;SP 3510153;ITAPETININGA;SP;;;;
SP;CAPÃO BONITO;ITAPETININGA;SP 3510203;ITAPETININGA;SP;;;;
SP;CAPELA DO ALTO;MACRO MET. PAULISTA;SP 3510302;ITAPETININGA;SP;;;;
SP;CAPIVARI;PIRACICABA;SP 3510401;ITAPETININGA;SP;;;;
SP;CARAGUATATUBA;VALE DO PARAÍBA;SP 3510500;ITAPETININGA;SP;;;;
SP;CARAPICUÍBA;METROP. DE SÃO PAULO;SP 3510609;ITAPETININGA;SP;;;;
SP;CARDOSO;SÃO J. DO RIO PRETO;SP 3510708;ITAPETININGA;SP;;;;
SP;CASA BRANCA;CAMPINAS;SP 3510807;ITAPETININGA;SP;;;;
SP;CÁSSIA DOS COQUEIROS;RIBEIRÃO PRETO;SP 3510906;ITAPETININGA;SP;;;;
SP;CASTILHO;ARAÇATUBA;SP 3511003;ITAPETININGA;SP;;;;
SP;CATANDUVA;SÃO J. DO RIO PRETO;SP 3511102;ITAPETININGA;SP;;;;
SP;CATIGUÁ;SÃO J. DO RIO PRETO;SP 3511201;ITAPETININGA;SP;;;;
SP;CEDRAL;SÃO J. DO RIO PRETO;SP 3511300;ITAPETININGA;SP;;;;
SP;CERQUEIRA CÉSAR;BAURU;SP 3511409;ITAPETININGA;SP;;;;
SP;CERQUILHO;ITAPETININGA;SP 3511508;ITAPETININGA;SP;;;;
SP;CESÁRIO LANGE;ITAPETININGA;SP 3511607;ITAPETININGA;SP;;;;
SP;CHARQUEADA;PIRACICABA;SP 3511706;ITAPETININGA;SP;;;;
SP;CHAVANTES;ASSIS;SP 3557204;ITAPETININGA;SP;;;;
SP;CLEMENTINA;ARAÇATUBA;SP 3511904;ITAPETININGA;SP;;;;
SP;COLINA;RIBEIRÃO PRETO;SP 3512001;ITAPETININGA;SP;;;;
SP;COLÔMBIA;RIBEIRÃO PRETO;SP 3512100;ITAPETININGA;SP;;;;
SP;CONCHAL;PIRACICABA;SP 3512209;ITAPETININGA;SP;;;;
SP;CONCHAS;BAURU;SP 3512308;ITAPETININGA;SP;;;;
SP;CORDEIRÓPOLIS;PIRACICABA;SP 3512407;ITAPETININGA;SP;;;;
SP;COROADOS;ARAÇATUBA;SP 3512506;ITAPETININGA;SP;;;;
SP;CORONEL MACEDO;ITAPETININGA;SP 3512605;ITAPETININGA;SP;;;;
